Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,City,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Sector,Date_Scraped,Job_URL,Job_ID,ISCO_Source,ISCO_Reclassified,Employer_Type_Raw,Employer_ISIC_4,Employer_Category_Confidence_Level,Employer_ISIC_2
"Sales consultant in field service (m/w/d) Region Berlin/Brandenburg, Berlin",Sales Workers (ISCO 52),5223.0,522.0,52.0,Shop sales assistants,Berlin,Berlin,HOBART GmbH,Manufacture of machinery and equipment n.e.c.,2026-06-15 00:00:00,Full-time,,"• Self-employed acquisition of new customers and distribution partners in the area of dishwashing and cooking technology
• Self-employed generate leads and further qualification of leads to sales opportunities, through the preparation and creation of offers, supply tracking and the conduct of negotiations
• Independent processing of service tips or leads from other sources
• Support of sales staff of trading partners in customer visits/presentations for new and ongoing projects
• Support of the sales engineer in acquisition and sales projects
• Independent implementation of commissioning, handovers and initial instructions of specialist retail-dishwash technology and cooking technology as well as the support of trading partners in this task
• Create CRM documentation
• Implementation of sales promotion measures such as customer training, trade fairs and roadshows
• Cooperation with other departments","• completed training as cook/cooker with professional experience
• Commercial additional training is beneficial
• first professional experience in sales sales, with demonstrable sales success
• Knowledge in the market field of large kitchen technology is beneficial
• Sales talent with very good communication skills
• Structured and careful work
• Target- and customer-oriented thinking and action
• A strong sense of responsibility and independent work
• Entrepreneurship
• Class B driving licence","• Onboarding: Welcome-Day, careful and individual training.
• Well-Being offers: Hansefit, health actions, bike leasing, psychosocial advice and other offers.
• Corporate benefits: employee offers from various market leaders.
• Further development: job-specific training opportunities and individual training programmes.
• Attractive compensation: including 30 days of holiday, holiday and Christmas money and other social benefits.",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Verkaufsberater-im-Aussendienst-m-w-d-Region-Berlin-Brandenburg-Berlin-Brandenburg-HOBART-GmbH--14152611-inline.html,Job-1,Rule_title,Yes,Direct Employer,2825,High,28
"Cook (w/m/d), Berlin",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,Berlin,Berlin,Korian Deutschland GmbH,Residential care activities,2026-06-15 00:00:00,Full-time,,"• Production of hot and cold food
• Co-design and implementation of the menu plan
• Control of storage and cooling rooms
• Ensure hygiene in compliance with HACCP guidelines","• Completed vocational training for cook/cooker (w/m/d) or comparable training
• Experience in the field of dietary diets desirable
• Flexibility and joy in implementing new ideas
• Communication talent, reliability and commitment
• PC skills and driving licence B desirable","• Early planning of the service
• Regular working hours
• Family-friendly employer
• Safe work
• Individual development opportunities
• 28 days of holidays with a 5 day week; generous anniversary awards
• Access to the Corporate Benefits Portal
• Korian-Benefit-Card (tax-free in kind)
• Business health management digitally via app
• As part of our commitment to sustainable mobility, we offer our employees the Korian Bike
• Severely disabled applicants are particularly taken into account when they are equally fit",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Koch-Koechin-w-m-d-Berlin-Korian-Deutschland-GmbH--13752166-inline.html,Job-2,Rule_title,No,Direct Employer,8730,High,87
"Cook (m/w/d), Ludwigsfelde",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,Brandenburg,Ludwigsfelde,meinestadt.de,Information service activities,2026-06-15 00:00:00,Full-time,,"• Processing and preparation of food
• Use on a fixed post, including self-responsible management of the kitchen post
• Cooperation with the food edition
• Ensure cleanliness and hygiene standards in the kitchen area (HACCP)","• Successfully completed vocational training and multi-year professional experience as a chef (m/w/d)
• High service orientation and reliability",,On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Ludwigsfelde-meinestadt-de--13973705-inline.html,Job-3,Rule_title,No,Job Aggregator / Intermediary,6312,High,63
"Chef / instructor for the school kitchen (m/w/d), Berlin",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,Berlin,Berlin,"ubs e.V. - umwelt, bildung, sozialarbeit",Food and beverage service activities,2026-06-15 00:00:00,Full-time,,- preparation and preparation of meals (cook and hold) for schools and day care centres - representation of the kitchen management - guidance of trainees in daily work - organization and care of the kitchen sector - participation in the planning of menus - co-responsibility of goods procurement and storage - implementation of internal quality standards and hygiene and storage Safety rules,"Qualifications- A completed professional training cook/cooker and enthusiasm for community catering - Experience in training / instructor skills (AEVO) desirable - patience and attention in dealing with young people - flexibility, commitment and good work planning - A safe hand for the production of delicious foodRequirements for the applicant: Advanced Knowledge: Prepare and prepare food hygiene, food","- A strong kitchen and training team, always at the side - A family working atmosphere and always a direct link to the management team - Regulated and civilian working hours from Monday to Friday in good staffing - Pay by house rate - Training opportunities for the future of community catering",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Koch-Ausbilder-fuer-die-Schulkueche-m-w-d-Berlin-ubs-e-V-umwelt-bildung-sozialarbeit--13908667-inline.html,Job-4,Rule_title,No,Recruitment Agency,5629,Medium,56
"Koch (m/w/d), Berlin",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,Berlin,Berlin,Gemeinschaftskrankenhaus Havelhöhe gGmbH,Human health activities,2026-06-15 00:00:00,Full-time,,"• Support in the implementation of our food concept and in the maintenance of our network to producers
• Independent preparation and production of food in compliance with recipes
• Ideas to further develop our food supply, including in the field of vegetarian-vegan nutrition
• Optimization of work processes in the kitchen and participation in the organization development of our hospital
• Cooperation in the nutrition circle together with doctors, nurses and nutrition counseling","• Qualification and experience: completed cooking training and several years of professional experience, HACCP and hygiene skills
• Expertise: Enjoying fresh food and healthy nutrition, service orientation and good communication skills
• Personal characteristics: openness to a collegial management concept, independent working methods and high level of self-responsibility, enthusiasm, flexibility and openness for new products","• Attractive remuneration and additional services: Performance-friendly remuneration plus retirement and, if applicable, child allowance, Havelhöhe comfort card with a monthly material purchase of 45 € after the trial period, work clothes and their laundry in the house
• Leisure and mobility: 30 days of holidays and regulated working hours, discounted JOBTICKET for public transport, JOBRAD - bicycles or e-bikes as a leasing offer from the employer, discounted membership in the URBAN SPORTS CLUB for wellness and sports offers
• Staff development and health: Monthly team meetings and internal training, company health and integration management
• Working environment and perspectives: Exciting network in the ""Food & Farm"" scene in Berlin, limited-term contract with option for extension",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Berlin-Gemeinschaftskrankenhaus-Havelhoehe-gGmbH--13257496-inline.html,Job-5,Rule_title,No,Direct Employer,8610,High,86
"Engaged chef (m/w/d) with hands-on mentality wanted!, Berlin",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,Berlin,Berlin,Waldhotel Schmöckwitz GmbH,Accommodation,2026-06-14 00:00:00,Full-time,,"• Preparation of fresh, high quality dishes for à la carte, meetings and events
• Self-managing a post and ensuring a smooth running
• Compliance with all hygiene regulations and internal quality standards
• efficient processing and recovery of the goods entrusted to the company
• Ordering, acceptance and control of goods","• You have completed professional training as a cook or cook.
• You work in a structured and independent manner.
• You are distinguished by a high level of quality awareness and initiative.
• You always stick to hygiene regulations (HACCP) and ensure a clean workplace.","You will find a work in a great atmosphere in the countryside and yet in Berlin, in a small team and plenty of room for initiative and creativity. Accommodation in our guesthouse is possible if desired. There are also discounted conditions in hotel and restaurant. Parking spaces are available.",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Engagierter-Koch-m-w-d-mit-hands-on-Mentalitaet-gesucht-Berlin-Waldhotel-Schmoeckwitz-GmbH--13965570-inline.html,Job-6,Rule_title,No,Direct Employer,5510,High,55
"Koch/Köchin (m/w/d) for a social enterprise in Berlin, Berlin",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,Berlin,Berlin,USE Union Sozialer Einrichtungen gGmbH,Residential care activities,2026-06-13 00:00:00,Part-time,,"• Professional instruction: They direct mentally ill people to typical tasks in the kitchen and the factory canteen and carry out all the work together with them.
• Skills: They plan the meal plans and design the individual work steps so small that everyone can participate in the working group.
• On Top: First get to know our different kitchens as a jumper - and then take over your own kitchen team at a fixed location.
• Safe space: actively shape our respectful cooperation, implement our concept of violence prevention in everyday life and stay up to date through regular training sessions.","• Qualification : Completed training as a cook/cooker, ideally with professional experience
• Social competence: open to working with mentally ill people; team spirit and communication skills
• Organizational talent: independent and economic work, resilience, versatile, activity-related expertise","• Your earnings : according to the pay system of the USE gGmbH, premium payments
• Your time : Reconciliation of private life and work, 30 days of holidays, additional Christmas Eve & New Year's Eve as work-free days, regulated working hours in full or part-time - no shift service!
• Your benefits: Company pension, Company health management, employee parties & events, good breakfast & lunch, travel allowance (49,- Euro) for public transport use, external and internal training and training opportunities, corporate benefits",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Koch-Koechin-m-w-d-fuer-ein-Sozialunternehmen-in-Berlin-Berlin-USE-Union-Sozialer-Einrichtungen-gGmbH--12140419-inline.html,Job-7,Rule_title,No,Direct Employer,8720,High,87
"Real estate manager (m/w/d), Berlin",Business & Administration Associates (ISCO 33),3334.0,333.0,33.0,Real estate agents and property managers,Berlin,Berlin,Stern/Edelstein Grundstücks GbR,Real estate activities,2026-06-13 00:00:00,Full-time,,"• You take care of the care of the tenants and make regular contact with them by correspondence with them
• Your task is to prepare the operating costs invoices and to set up rental contracts carefully
• With the help of advice and action, you are at your side when taking your apartment
• You have the responsibility to check invoices thoroughly and to monitor the implementation of maintenance measures
• You will pick the master data and make sure that all information is up-to-date and correct","• Your completed commercial training and your training as a real estate clerk form the basis for your work as a real estate manager
• You draw yourself through a structured and independent way of working that leads your projects to success
• Safe handling of MS Office and your basic accounting skills will help you to efficiently perform your tasks
• With your experience in real estate management, you are well equipped to meet the challenges of this area
• You have a class B driving licence that allows you to have flexibility and mobility in your daily work
• Your teamwork ability allows you to work with colleagues and partners positively","• An indefinite employment contract in a stable house management. Independent work without unnecessary hierarchies. Fair working hours without permanent accessibility.
• Modern working processes and a structured organisation.
• Personal appreciation instead of anonymous corporate structures.
• Attractive working hours:
• Start of work 07:30, work already at 16:00.
• Fridays only until 1:00 pm - start earlier in the weekend.
• No permanent availability outside working hours.
• Fully equipped office kitchen with microwave and cooking facilities.
• Possibility to bring your own food and warm up.
• Collegial team and a calm, structured working atmosphere.
• Training
• Long-term cooperation / secure industry
• Central location / good transport connections
• The working day ends with us scheduled - overtime and evening appointments are the exception.",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Immobilienverwaltungsfachkraft-m-w-d-Berlin-Stern-Edelstein-Grundstuecks-GbR--13905667-inline.html,Job-8,Rule_title,Yes,Direct Employer,6810,Medium,68
"IT administrator (m/w/d), Berlin",ICT Professionals (ISCO 25),2522.0,252.0,25.0,Systems aministrators,Berlin,Berlin,P+P Pöllath + Partners Rechtsanwälte und Steuerberater mbB,Legal and accounting activities,2026-06-13 00:00:00,Full-time,,"• Working in the IT team With your excellent expertise, you support our team in current and upcoming software projects. You are largely free to choose which projects you want to work on.
• Analysis and self-resolving of problems After the induction you solve faults (2nd and 3rd levels) after the troubleshooting. You are always involved in the team and are supported.
• Implementation of IT projects You plan and implement IT projects independently. You not only bring your experiences but also new ideas into the process.
• Cloud operation With your experience, you support us in cloud projects and in particular in a secure Microsoft 365 deployment.
• Ensure safe and efficient operation Together with the admin team, you ensure safe and trouble-free operation of our IT.","• Enthusiasm for IT and technical challenges
• Successfully completed training as a specialist computer scientist (m/w/d) for system integration or comparable training
• Perennial experience as IT administrator (m/w/d)
• Experience with Microsoft server operating systems and Microsoft 365
• High awareness of responsibility and a safe appearance
• Team and communication skills
• Flowing German and ideally good English knowledge","• Flexible working: modern working methods with the possibility of hybrid working models and flexible working hours
• Professional environment: An appreciative and collegial cooperation in a renowned law firm
• Continuing education & development: Individual funding opportunities for your professional and personal development
• Attractive benefits: a competitive salary, additional social benefits and site-specific offers (Germany ticket, corporate benefits)
• Occupational health and corporate fitness (EGYM-Wellpass)
• Free meals for all days by our POELLATH chefs",Remote,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--IT-Administrator-m-w-d-Berlin-P-P-Poellath-Partners-Rechtsanwaelte-und-Steuerberater-mbB--14082155-inline.html,Job-9,Rule_title,Yes,Direct Employer,6910,High,69
"Koch (all genders), Berlin",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,Berlin,Berlin,IntercityHotel Berlin Hauptbahnhof,Accommodation,2026-06-13 00:00:00,Full-time,,"• You plan and prepare meals for breakfast, à la carte, conference and group events independently and ensure smooth running even with high guests
• With a structured and clean working method, you ensure a consistently high quality level and work precisely and team-oriented
• You are responsible for the professional storage, processing and use of food in compliance with all HACCP and hygiene standards
• You actively support a professional organizational and work process in daily kitchen operation
• You also keep an overview in early, day or late shifts and contribute to a professional guest experience
• You bring motivation, experience and quality awareness into our hotel kitchen","• You have a completed training as a cook/cooker or practical experience in hotel kitchen, gastronomy or breakfast service
• You know the current HACCP and hygiene guidelines and implement them reliably in everyday kitchens
• You work in a structured, reliable and collegial way and appreciate clear processes and teamwork
• You are ready to work in changing shifts (breakfast, banquet and à la carte).
• You have very good German skills (at least B2) for smooth communication in the team
• The position is right for you if you work professionally, robustly and quality-oriented even with high workloads","• Attractive staff rate in our hotels
• Corporate benefits
• Large training offer, e.g. through our eLearning platform
• Cross-training possibilities
• Support Association & Social Day
• Christmas & Holiday money
• Capital benefits
• Anniversary payment
• Germany Ticket
• Health promotion",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Koch-all-genders-Berlin-IntercityHotel-Berlin-Hauptbahnhof--14084182-inline.html,Job-10,Rule_title,No,Direct Employer,5510,High,55
