Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,City,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Sector,Date_Scraped,Job_URL,Job_ID,ISCO_Source,ISCO_Reclassified,Employer_Type_Raw,Employer_ISIC_4,Employer_Category_Confidence_Level,Employer_ISIC_2
"Professional driver (m/w/d) in gardening and landscaping, Berlin",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Berlin,Berlin,metre GmbH,Services to buildings and landscape activities,2026-06-28 00:00:00,Full-time,,"- Repair of paving surfaces - Manufacture of new paving surfaces - Setting of boards - Operation of construction equipment e.g. wheel loaders, rudders, cutting machines - Levelling of paving surfaces - fence work - Playground construction - and much more in gardening and landscaping.",Expert knowledge: Vehicle guidance,- a friendly working environment - very good pay - team events - tablets and company vehicles in the working context - shopping vouchers - recruitment: Fest/Immediate - working area: Berlin and the surrounding area - a varied work area,On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-m-w-d-im-Garten-und-Landschaftsbau-Berlin-metre-GmbH--14205036-inline.html,Job-1,Rule_title,No,Direct Employer,8130,High,81
"Professional driver (m/w/d), Wandlitz",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Wandlitz,ISR Recycling GmbH & Co. KG,"Waste collection, treatment and disposal activities; materials recovery",2026-06-28 00:00:00,Full-time,,"• Guided tour of a truck
• Handling of the assigned journeys and tours","• You are in possession of CE driving licence
• Experience in handling container and trailer trains","• Direct entry with comprehensive training
• Interesting, varied and responsible tasks
• Working in a highly motivated team
• A valued corporate culture
• Benefit-based remuneration",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-in-m-w-d-Wandlitz-ISR-Recycling-GmbH-Co-KG--12797437-inline.html,Job-2,Rule_title,No,Direct Employer,3830,Medium,38
"Truck driver CE for low-loader transports (m/w/d), Velten",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Velten,Philipp Dunkel GmbH & Co KG Erdbau Abbruch Altlastensanierung,Civil engineering,2026-06-28 00:00:00,Full-time,,"Low loader transports with 3 axle saddle and low loader low loader transports in the limb train Transport of building materials and construction waste in the tilting saddle, if necessary, limb train or container vehicle Responsible for the vehicle Administrative tasks such as carrying out transport documents",Valid driving licence class CE Multi-year driving practice with semi-trailers desirable readiness to use and flexibility Experience in low-loader transport,,On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--LKW-Fahrer-CE-fuer-Tiefladertransporte-m-w-d-Velten-Philipp-Dunkel-GmbH-Co-KG-Erdbau-Abbruch-Altlastensanierung--14068664-inline.html,Job-3,Rule_title,No,Direct Employer,4290,High,42
"Job Driver (m/w/d), Berlin",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Berlin,Berlin,Autohaus Kramm GmbH,Wholesale and retail trade and repair of motor vehicles and motorcycles,2026-06-28 00:00:00,Part-time,,"• Vehicle transfers
• Towing of roadside and accident vehicles
• Helping to break down if you want to develop
• Recovery work
• ...and always honk when a child wave","• a category B or C1 or C1E driving licence
• Flexibility in working hours
• Experience in driving transporters
• physical and psychological resilience
• Communication skills and good and polite manners
• Teamwork and commitment as well as timely and reliable working methods
• Safe appearance and strong contact strength
• polite manners
• high reliability
• very good teamwork and social competence
• a friendly, independent and service-oriented way of working","• a secure position
• with versatile, interesting tasks
• with above average payment
• Training courses at our company and at the ADAC
• an enthusiastic team looking forward to meeting you
• Extension of your driving licence",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Job-Kraftfahrer-m-w-d-Berlin-Autohaus-Kramm-GmbH--14069409-inline.html,Job-4,Rule_title,No,Direct Employer,4510,High,45
"Driver (C1/C1E) for furniture transport, Potsdam",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Potsdam,Plischka Umzüge Potsdam GmbH,Land transport and transport via pipelines,2026-06-28 00:00:00,Full-time,,- Driving - Packaging and protecting moving goods - Loading and unloading of a furniture car - Office and object relocations They make a significant contribution to the order fulfilment and thus to customer satisfaction.,"Experiences in furniture transport would be desirable, and you should be physically resilient.A short-term start to work is possible!Basic knowledge: furniture delivery, assembly (furniture, kitchen), tour planning, transport, forwarding, delivery traffic, loading, unloading",,On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kraftfahrerin-C1-C1E-fuer-den-Moebeltransport-Potsdam-Plischka-Umzuege-Potsdam-GmbH--13826700-inline.html,Job-5,Rule_title,No,Direct Employer,4922,High,49
"Driver (m/w/d), Potsdam",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Potsdam,Rausch Straßen- und Tiefbau GmbH,Civil engineering,2026-06-28 00:00:00,Full-time,,- implementation of self-loading construction machinery and equipment - transport and delivery of road construction materials - transport of cast asphalt - other tasks,"Skills:- fast and careful work - certain physical basic load capacityPersonal requirements:- Driving licence class CE - driver card incl. registered module 95 - willingness to perform and flexibility - willingness to use the season, requirements for the applicant: basic knowledge: driving, road and traffic law Advanced knowledge: loading, Unload","41 hours from 01.04.- 30.11., 38 hours from 01.12.- 31.03.- Performance-oriented payment - appropriate training time - family working environment - qualified and motivated employees",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Potsdam-Rausch-Strassen-und-Tiefbau-GmbH--13759559-inline.html,Job-6,Rule_title,No,Direct Employer,4210,High,42
"Driver for trucks up to 7.49 t driving licence C1 (m/w/d), Ludwigsfelde",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Ludwigsfelde,Erich Nitsche Möbeltransport-Spedition- Lagerung Inh. Sascha Nitsche,Land transport and transport via pipelines,2026-06-27 00:00:00,Full-time,,- transport of swap cases with mattresses and new furniture from the Ludwigsfelde warehouse directly to the regional furniture trade - careful picking and securing of the cargo - inspection of the delivery notes - operation of the toll and tachograph equipment (DTCO) - maintenance and technical monitoring of the vehicle,"- Teamplayer, physically fit - valid driver's license C1 + driver's card. - Experience with changeable bridges?! Training if necessary - German in word and writing - on time + too reliable!","- Short decision-making procedures - Provision of work clothes - Regular working hours from Monday to Friday, no weekend services, no night work - Performance and punctual payment - Premium from 6. Month - Occupational pensions from one year of age - Future job - Planning, implementation and cost-taking of training (Kz. 95, dig. Tachograph) - A strong community and annual employee events - Intensive training by experienced and nice colleagues - Modern trucks, fixed assignment, i.e. a separate truck - Good connection of our warehouse in Ludwigsfelde with public transport - Sufficient parking spaces - No delivery to private customers",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-fuer-Lkw-bis-7-49-t-Fuehrerschein-C1-m-w-d-Ludwigsfelde-Erich-Nitsche-Moebeltransport-Spedition-Lagerung-Inh-Sascha-Nitsche--14204163-inline.html,Job-7,Rule_title,No,Direct Employer,4923,High,49
"Driver (m/w/d) with driving licence class C/C1 for fixed tours in Berlin, Berlin",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Berlin,Berlin,Billhardt Transport und Logistik GmbH,Land transport and transport via pipelines,2026-06-27 00:00:00,Full-time,,- Loading and unloading of the delivery vehicle - Delivery on schedule to our fixed customers - Scanning and documentation of the goods,"This is what you bring with you:- Driving licence class C/C1 - punctuality and flexibility - load capacity and reliability - friendly and safe appearance in handling customers - responsibility and independent workRequirements for the applicant: Basic knowledge: tour planning, delivery service (dishwash), goods delivery, goods delivery, vehicle guidance, loading, unloading, Control the operational safety of means of transport",- Fixed tours from Monday to Friday - Fixed working hours and fixed customers - Fair and punctual payment - Anytime a contact person for questions or problems - Permanent employment contract - Supplements for night work - Travel allowance and provision of work clothes - Premiums for special services - Good team cooperation - Christmas party and summer party,On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-mit-Fuehrerschein-Klasse-C-C1-fuer-feste-Touren-in-Berlin-Berlin-Billhardt-Transport-und-Logistik-GmbH--14203949-inline.html,Job-8,Rule_title,No,Direct Employer,4923,High,49
"Drivers in CE long-distance transport (m/w/d), Ludwigsfelde",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Ludwigsfelde,Erich Nitsche Möbeltransport-Spedition- Lagerung Inh. Sascha Nitsche,Land transport and transport via pipelines,2026-06-27 00:00:00,Full-time,,- Transport of swap cases nationwide to our warehouse or directly to the furniture trade (Berlin-Brandenburg area) - Responsibility for the transferred transport orders in compliance with the statutory driving and rest periods - Operation of the toll and tachograph equipment (DTCO) - Maintenance and technical monitoring of the vehicle,"- Teamplayer, physically fit - valid driving licence CE + driver card - experience with changing bridges!? Training if necessary - German in word and writing - punctual and reliable","- Short decision-making procedures - Work clothes - Regular working hours from Monday to Friday, no weekend services, no night work - Performance-oriented + punctual payment - Premium from 6. Month - Occupational pensions from one year of age - Future job - Planning, implementation and cost-taking of training (Kz. 95, dig. Tachograph) - A strong community and annual employee events - Intensive training by experienced + nice colleagues - Modern trucks with fixed assignment - Good connection of our warehouse in Ludwigsfelde with public transport - Sufficient parking - No delivery to private customers",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-CE-Fernverkehr-m-w-d-Ludwigsfelde-Erich-Nitsche-Moebeltransport-Spedition-Lagerung-Inh-Sascha-Nitsche--14203756-inline.html,Job-9,Rule_title,No,Direct Employer,4923,High,49
"Truck drivers - public transport in Berlin-Tempelhof (m/w/d), Berlin Tempelhof-Schöneberg",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Berlin,Berlin Tempelhof-Schöneberg,Deutsche Post & DHL,Postal and courier activities,2026-06-26 00:00:00,Full-time,,"• On-time collection and delivery of the cargo
• securing the load in the truck
• Transport in local transport","• A valid CE driving licence with key number 95
• Ideally professional experience as a professional driver
• Experience in driving with trailers
• Ready for work even on weekends
• Reliability, commitment and flexibility
• You are physically fit and resilient","• Collective hourly wage from € 18.51 incl. 50% Christmas money
• + 25% night allowance tax-free from 20:00 (until 6:00 a.m., equivalent to €22.21 hourly wage incl. 50% Christmas bonus)
• Another 50% Christmas money in November
• Up to 332 € holiday allowance, 27 days holiday entitlement
• A job that is secure in crisis, paid training, guaranteed wage increases under collective agreement and punctual pay
• Possibility of paying overtime
• You can start in full time immediately indefinitely
• You always know when you are at home - regular work time 38.5 hours/week in three shift operation
• The cost of continuing vocational training according to the BKrFQG
• Free provision of high quality work clothes
• Attractive employee offers such as employer-funded company pension plans, discounts on holidays etc.",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Lkw-Fahrer-Nahverkehr-in-Berlin-Tempelhof-m-w-d-Berlin-Tempelhof-Schoeneberg-Deutsche-Post-DHL--14201779-inline.html,Job-10,Rule_title,No,Direct Employer,5310,High,53
